Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:16.A1,urn:cite:hmt:vaimg.VA206RN-0377@0.097,0.3561,0.086,0.0398,urn:cite:hmt:msA.206r,
urn:cts:greekLit:tlg5026.msAint.hmt:16.A2,urn:cite:hmt:vaimg.VA206RN-0377@0.123,0.4117,0.068,0.0676,urn:cite:hmt:msA.206r,
urn:cts:greekLit:tlg5026.msAint.hmt:16.A3,urn:cite:hmt:vaimg.VA206RN-0377@0.105,0.5004,0.079,0.0353,urn:cite:hmt:msA.206r,
urn:cts:greekLit:tlg5026.msAint.hmt:16.A4,urn:cite:hmt:vaimg.VA206RN-0377@0.111,0.5755,0.065,0.0413,urn:cite:hmt:msA.206r,
urn:cts:greekLit:tlg5026.msAint.hmt:16.A5,urn:cite:hmt:vaimg.VA206RN-0377@0.1,0.6454,0.086,0.0255,urn:cite:hmt:msA.206r,
urn:cts:greekLit:tlg5026.msAint.hmt:16.A6,urn:cite:hmt:vaimg.VA206RN-0377@0.12,0.6679,0.068,0.0451,urn:cite:hmt:msA.206r,
